Flat_type,Storey_range,Floor_area_sqm,Remaining_months,Resale_price
5 ROOM,13 TO 15,121,795,748000
5 ROOM,19 TO 21,121,796,765000
5 ROOM,07 TO 09,121,803,698000
5 ROOM,04 TO 06,127,813,690000
5 ROOM,10 TO 12,133,862,750000
5 ROOM,16 TO 18,121,932,821888
5 ROOM,04 TO 06,136,862,865000
5 ROOM,16 TO 18,135,859,795000
5 ROOM,19 TO 21,125,830,780000
5 ROOM,07 TO 09,122,831,680000
MULTI-GENERATION,01 TO 03,165,800,905000
3 ROOM,01 TO 03,64,788,375000
3 ROOM,01 TO 03,67,770,380000
3 ROOM,10 TO 12,65,636,270000
3 ROOM,07 TO 09,68,635,265000
4 ROOM,07 TO 09,115,826,723000
4 ROOM,10 TO 12,84,804,450000
4 ROOM,01 TO 03,84,782,445000
4 ROOM,04 TO 06,84,782,475000
4 ROOM,04 TO 06,103,802,475000
4 ROOM,10 TO 12,83,795,540000
4 ROOM,04 TO 06,83,805,448000
4 ROOM,01 TO 03,107,858,488000
4 ROOM,01 TO 03,112,861,590000
4 ROOM,10 TO 12,105,861,590000
4 ROOM,10 TO 12,106,857,595000
4 ROOM,07 TO 09,104,860,558000
4 ROOM,10 TO 12,103,858,620000
4 ROOM,01 TO 03,105,858,570000
4 ROOM,19 TO 21,102,931,693000
4 ROOM,10 TO 12,104,861,560000
4 ROOM,10 TO 12,101,861,460000
4 ROOM,04 TO 06,105,831,562000
5 ROOM,04 TO 06,123,814,648888
5 ROOM,04 TO 06,121,800,675000
5 ROOM,19 TO 21,121,807,800000
5 ROOM,13 TO 15,131,815,755000
5 ROOM,01 TO 03,131,812,705000
5 ROOM,07 TO 09,121,795,720000
5 ROOM,04 TO 06,121,805,690000
5 ROOM,04 TO 06,121,861,820000
5 ROOM,07 TO 09,120,1089,988000
5 ROOM,07 TO 09,123,833,698000
EXECUTIVE,10 TO 12,146,801,925000
EXECUTIVE,01 TO 03,152,792,802888
EXECUTIVE,04 TO 06,147,858,880000
MULTI-GENERATION,10 TO 12,169,799,988888
3 ROOM,04 TO 06,64,805,381800
3 ROOM,07 TO 09,65,634,257000
4 ROOM,04 TO 06,84,793,415000
4 ROOM,07 TO 09,105,781,650000
4 ROOM,04 TO 06,104,781,630000
4 ROOM,07 TO 09,90,782,460000
4 ROOM,04 TO 06,105,781,615000
4 ROOM,07 TO 09,84,781,518000
4 ROOM,01 TO 03,84,794,450000
4 ROOM,01 TO 03,83,801,502000
4 ROOM,13 TO 15,103,860,588000
4 ROOM,10 TO 12,105,860,600000
4 ROOM,04 TO 06,105,860,585000
4 ROOM,01 TO 03,107,857,503000
4 ROOM,13 TO 15,108,860,608000
4 ROOM,04 TO 06,106,856,560000
4 ROOM,04 TO 06,100,930,580000
4 ROOM,04 TO 06,108,860,630000
4 ROOM,40 TO 42,95,1089,980000
4 ROOM,01 TO 03,112,860,540000
4 ROOM,04 TO 06,92,775,500000
4 ROOM,07 TO 09,92,775,528000
4 ROOM,10 TO 12,103,830,560000
4 ROOM,10 TO 12,88,643,380000
5 ROOM,19 TO 21,121,795,765000
5 ROOM,04 TO 06,121,799,700000
5 ROOM,07 TO 09,121,798,665000
5 ROOM,16 TO 18,121,793,670000
5 ROOM,07 TO 09,122,813,658000
5 ROOM,16 TO 18,131,811,788000
5 ROOM,19 TO 21,121,930,760000
5 ROOM,10 TO 12,121,768,728888
EXECUTIVE,07 TO 09,150,857,890000
EXECUTIVE,22 TO 24,160,830,1010000
3 ROOM,04 TO 06,64,780,387000
3 ROOM,01 TO 03,64,804,328000
3 ROOM,01 TO 03,67,773,373000
4 ROOM,01 TO 03,84,816,392000
4 ROOM,04 TO 06,93,818,420000
4 ROOM,04 TO 06,84,773,480000
4 ROOM,04 TO 06,84,774,510000
4 ROOM,07 TO 09,83,791,472000
4 ROOM,07 TO 09,104,811,480000
4 ROOM,07 TO 09,84,811,440000
4 ROOM,07 TO 09,84,781,510000
4 ROOM,01 TO 03,104,780,590000
4 ROOM,04 TO 06,85,805,445000
4 ROOM,01 TO 03,112,859,555000
4 ROOM,04 TO 06,109,856,508000
4 ROOM,10 TO 12,113,855,600000
4 ROOM,13 TO 15,108,858,670000
4 ROOM,07 TO 09,102,855,555000
4 ROOM,04 TO 06,103,855,485000
4 ROOM,28 TO 30,95,1088,888888
5 ROOM,04 TO 06,121,790,690000
5 ROOM,01 TO 03,121,797,650000
5 ROOM,01 TO 03,121,792,672000
5 ROOM,13 TO 15,121,803,707000
5 ROOM,13 TO 15,121,812,640000
5 ROOM,10 TO 12,131,802,780000
5 ROOM,01 TO 03,122,803,685000
5 ROOM,10 TO 12,139,856,800000
5 ROOM,04 TO 06,133,855,698000
5 ROOM,07 TO 09,121,929,690000
5 ROOM,13 TO 15,120,1087,860000
5 ROOM,04 TO 06,123,829,690000
5 ROOM,10 TO 12,125,828,700000
5 ROOM,10 TO 12,125,829,690000
EXECUTIVE,01 TO 03,151,790,780000
EXECUTIVE,04 TO 06,146,793,940000
EXECUTIVE,01 TO 03,142,793,850000
EXECUTIVE,04 TO 06,150,859,880000
EXECUTIVE,04 TO 06,149,858,815000
EXECUTIVE,04 TO 06,149,855,913000
3 ROOM,04 TO 06,64,806,380000
4 ROOM,07 TO 09,104,780,592500
4 ROOM,07 TO 09,105,779,640000
4 ROOM,04 TO 06,84,779,450000
4 ROOM,01 TO 03,105,780,550000
4 ROOM,07 TO 09,84,806,572500
4 ROOM,04 TO 06,112,858,590000
4 ROOM,19 TO 21,116,858,680000
4 ROOM,10 TO 12,103,857,550000
4 ROOM,01 TO 03,105,854,550000
4 ROOM,04 TO 06,105,855,468000
4 ROOM,01 TO 03,103,858,475000
4 ROOM,10 TO 12,100,928,615000
4 ROOM,10 TO 12,104,857,510000
4 ROOM,04 TO 06,107,827,542000
5 ROOM,10 TO 12,121,790,683000
5 ROOM,01 TO 03,130,801,610000
5 ROOM,04 TO 06,121,791,755000
5 ROOM,19 TO 21,121,795,850000
5 ROOM,13 TO 15,131,803,705000
5 ROOM,01 TO 03,121,809,658888
5 ROOM,04 TO 06,121,857,845000
5 ROOM,13 TO 15,121,928,735000
5 ROOM,07 TO 09,120,785,625000
5 ROOM,04 TO 06,120,784,640000
EXECUTIVE,01 TO 03,147,855,858000
EXECUTIVE,01 TO 03,149,777,845000
3 ROOM,01 TO 03,64,775,325000
3 ROOM,10 TO 12,67,771,399000
3 ROOM,01 TO 03,67,768,400000
3 ROOM,04 TO 06,68,631,210000
4 ROOM,04 TO 06,103,822,715000
4 ROOM,04 TO 06,103,797,480000
4 ROOM,04 TO 06,91,782,490000
4 ROOM,07 TO 09,84,796,460000
4 ROOM,07 TO 09,84,790,500000
4 ROOM,01 TO 03,84,810,390000
4 ROOM,04 TO 06,84,810,395000
4 ROOM,01 TO 03,105,854,570000
4 ROOM,01 TO 03,106,858,502888
4 ROOM,01 TO 03,110,857,490000
4 ROOM,07 TO 09,114,857,618000
4 ROOM,07 TO 09,107,854,580000
4 ROOM,04 TO 06,105,857,500000
4 ROOM,10 TO 12,103,857,518000
4 ROOM,04 TO 06,103,856,582888
4 ROOM,01 TO 03,108,857,450000
4 ROOM,01 TO 03,104,857,511000
4 ROOM,04 TO 06,102,927,600000
4 ROOM,16 TO 18,95,1086,860000
4 ROOM,04 TO 06,106,857,580000
4 ROOM,07 TO 09,103,857,565000
4 ROOM,13 TO 15,89,793,550000
4 ROOM,04 TO 06,105,824,525000
5 ROOM,04 TO 06,127,822,800000
5 ROOM,01 TO 03,121,795,680000
5 ROOM,13 TO 15,128,804,745000
5 ROOM,04 TO 06,121,797,665000
